书名,出版社,价格
红楼梦, 人民文学出版社 , 59.70元
活着, 作家出版社 , 20.00元
百年孤独, 南海出版公司 , 39.50元
1984, 北京十月文艺出版社 , 28.00
飘, 译林出版社 , 40.00元
三体全集, 重庆出版社 , 168.00元
三国演义（全二册）, 人民文学出版社 , 39.50元
白夜行, 南海出版公司 , 39.50元
福尔摩斯探案全集（上中下）, 1981-8 ,68.00元
房思琪的初恋乐园, 北京联合出版公司 , 45.00元
动物农场, 上海译文出版社 , 10.00元
